task,metric_name,train_accuracy,val_accuracy,test_accuracy,train_roc_auc,val_roc_auc,test_roc_auc,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,geometry_error,dataset,model,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,mean_active_charts,run_id,config_hash,source_hash
link_prediction,roc_auc,,,,,,,0.847810650887574,0.7613494377342773,0.8188254893794253,0.847810650887574,0.7613494377342773,0.8188254893794253,0.8513599270886677,0.7538000826190911,0.8447626641884256,,,,,,,,,,,,,,,,atlas_het,mlp,0,1,4,0,4,0.7613494377342773,5059,120,780,0,0.12610626220703125,cpu,0,,atlas_het__link_prediction__mlp__split0__seed0__885b7d3c8e1a,885b7d3c8e1a,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.8909598948060489,0.814244064972928,0.8650562265722616,0.8909598948060489,0.814244064972928,0.8650562265722616,0.9169330412683114,0.8569754017426605,0.9086938523466739,,,,,,,,,,,,,,,,atlas_het,resgcn,0,1,4,0,4,0.814244064972928,9475,120,780,0,0.15520620346069336,cpu,0,,atlas_het__link_prediction__resgcn__split0__seed0__2f5203eda6e5,2f5203eda6e5,10fa52ae5f317d93
node_classification,accuracy,0.3857142925262451,0.4545454680919647,0.3571428656578064,,,,0.3857142925262451,0.4545454680919647,0.3571428656578064,,,,,,,0.4375,0.25,,,,,,,,,,,,,,atlas_het,appnp,0,3,4,0,4,0.4545454680919647,5059,120,976,0,0.10272812843322754,cpu,0,,atlas_het__node_classification__appnp__split0__seed0__4b3c9906e376,4b3c9906e376,10fa52ae5f317d93
node_classification,accuracy,0.4285714328289032,0.4545454680919647,0.5357142686843872,,,,0.4285714328289032,0.4545454680919647,0.5357142686843872,,,,,,,0.3125,0.8333333134651184,,,,,,,,,,,,,,atlas_het,gcn,0,4,4,0,4,0.4545454680919647,899,120,976,0,0.07444572448730469,cpu,0,,atlas_het__node_classification__gcn__split0__seed0__ed6209726e43,ed6209726e43,10fa52ae5f317d93
node_classification,accuracy,0.4285714328289032,0.5,0.3928571343421936,,,,0.4285714328289032,0.5,0.3928571343421936,,,,,,,0.3125,0.5,0.05720829012641776,0.6285714285714286,,,,,,,,,,,,atlas_het,geometry_moe,0,1,4,0,4,0.5,1356,120,976,0,0.13899898529052734,cpu,0,3.0,atlas_het__node_classification__geometry_moe__split0__seed0__f640a20dedb3,f640a20dedb3,10fa52ae5f317d93
node_classification,accuracy,0.4285714328289032,0.4545454680919647,0.3571428656578064,,,,0.4285714328289032,0.4545454680919647,0.3571428656578064,,,,,,,0.3125,0.4166666567325592,,,,,,,,,,,,,,atlas_het,gprgnn,0,1,4,0,4,0.4545454680919647,5068,120,976,0,0.13946843147277832,cpu,0,,atlas_het__node_classification__gprgnn__split0__seed0__9782f3c42e5f,9782f3c42e5f,10fa52ae5f317d93
node_classification,accuracy,0.37142857909202576,0.3636363744735718,0.3571428656578064,,,,0.37142857909202576,0.3636363744735718,0.3571428656578064,,,,,,,0.4375,0.25,-0.017718089958059225,0.6285714285714286,0.055071212351322174,4.967053990334591e-10,7.450580707946131e-10,1.4901161193847656e-08,1.4901161193847656e-08,1.9632130715763196e-05,1.9632130715763196e-05,0.0,1.9632130715763196e-05,0.010758108459413052,0.2666282057762146,atlas_het,graphatlas,0,1,4,0,4,0.3636363744735718,10338,120,976,0,0.6381938457489014,cpu,0,2.0,atlas_het__node_classification__graphatlas__split0__seed0__7674dafe6fd1,7674dafe6fd1,10fa52ae5f317d93
node_classification,accuracy,0.37142857909202576,0.3636363744735718,0.3571428656578064,,,,0.37142857909202576,0.3636363744735718,0.3571428656578064,,,,,,,0.4375,0.25,-0.017718089958059225,0.6285714285714286,0.05506681650876999,1.1988977348664775e-05,2.6304771381546743e-05,5.636364221572876e-05,0.00014556944370269775,2.053007483482361e-05,2.053007483482361e-05,0.0,2.053007483482361e-05,0.010040316730737686,0.2188001126050949,atlas_het,graphatlas_free_transition,0,1,4,0,4,0.3636363744735718,10374,120,976,0,0.5976336002349854,cpu,0,2.0,atlas_het__node_classification__graphatlas_free_transition__split0__seed0__4a5ba264f261,4a5ba264f261,10fa52ae5f317d93
node_classification,accuracy,0.37142857909202576,0.3636363744735718,0.3571428656578064,,,,0.37142857909202576,0.3636363744735718,0.3571428656578064,,,,,,,0.4375,0.25,-0.017718089958059225,0.6285714285714286,0.055073872208595276,1.3303508239914663e-05,2.204229349445086e-05,5.257129669189453e-05,9.083747863769531e-05,2.0121964553254656e-05,2.0121964553254656e-05,0.0,2.0121964553254656e-05,0.010731060057878494,0.26663029193878174,atlas_het,graphatlas_no_transport,0,1,4,0,4,0.3636363744735718,10338,120,976,0,0.5364885330200195,cpu,0,2.0,atlas_het__node_classification__graphatlas_no_transport__split0__seed0__74db917e2e7c,74db917e2e7c,10fa52ae5f317d93
node_classification,accuracy,0.6714285612106323,0.6363636255264282,0.5357142686843872,,,,0.6714285612106323,0.6363636255264282,0.5357142686843872,,,,,,,0.375,0.75,,,,,,,,,,,,,,atlas_het,h2gcn,0,4,4,0,4,0.6363636255264282,25859,120,976,0,0.14360880851745605,cpu,0,,atlas_het__node_classification__h2gcn__split0__seed0__c27cc8bad9cb,c27cc8bad9cb,10fa52ae5f317d93
node_classification,accuracy,0.41428571939468384,0.3636363744735718,0.3214285671710968,,,,0.41428571939468384,0.3636363744735718,0.3214285671710968,,,,,,,0.1875,0.5,,,,,,,,,,,,,,atlas_het,linkx,0,4,4,0,4,0.3636363744735718,6795,120,976,0,0.09110236167907715,cpu,0,,atlas_het__node_classification__linkx__split0__seed0__c3a02fd8411b,c3a02fd8411b,10fa52ae5f317d93
node_classification,accuracy,0.6285714507102966,0.5909090638160706,0.5714285969734192,,,,0.6285714507102966,0.5909090638160706,0.5714285969734192,,,,,,,0.4375,0.75,,,,,,,,,,,,,,atlas_het,mixhop,0,3,4,0,4,0.5909090638160706,25859,120,976,0,0.13529109954833984,cpu,0,,atlas_het__node_classification__mixhop__split0__seed0__92bdd9b0438e,92bdd9b0438e,10fa52ae5f317d93
node_classification,accuracy,0.5142857432365417,0.6818181872367859,0.6428571343421936,,,,0.5142857432365417,0.6818181872367859,0.6428571343421936,,,,,,,0.5625,0.75,,,,,,,,,,,,,,atlas_het,mlp,0,3,4,4,0,0.6818181872367859,5059,120,976,0,0.07876849174499512,cpu,0,,atlas_het__node_classification__mlp__split0__seed0__8cdd16e68625,8cdd16e68625,10fa52ae5f317d93
node_classification,accuracy,0.6428571343421936,0.5909090638160706,0.5,,,,0.6428571343421936,0.5909090638160706,0.5,,,,,,,0.4375,0.5833333134651184,,,,,,,,,,,,,,atlas_het,resgcn,0,4,4,0,4,0.5909090638160706,9475,120,976,0,0.1280202865600586,cpu,0,,atlas_het__node_classification__resgcn__split0__seed0__54b0dbbfc88c,54b0dbbfc88c,10fa52ae5f317d93
