dataset,task,condition_id,seed,split,model,test_metric,routing_mode
atlas_het,node_classification,ov0.10_cross0.15,1,0,graphatlas_c_beta_2,0.7653061151504517,certificate
atlas_het,node_classification,ov0.10_cross0.30,1,0,graphatlas_c_beta_2,0.7653061151504517,certificate
atlas_het,node_classification,ov0.10_cross0.00,2,0,graphatlas_c_beta_2,0.7755101919174194,certificate
atlas_het,node_classification,ov0.10_cross0.15,2,0,graphatlas_c_beta_2,0.7755101919174194,certificate
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_beta_2,0.7755101919174194,certificate
atlas_het,node_classification,ov0.10_cross0.00,3,0,graphatlas_c_beta_2,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.15,3,0,graphatlas_c_beta_2,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.30,3,0,graphatlas_c_beta_2,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.00,4,0,graphatlas_c_beta_2,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.15,4,0,graphatlas_c_beta_2,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.30,4,0,graphatlas_c_beta_2,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c_beta_4,0.8585858345031738,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c_beta_4,0.8585858345031738,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c_beta_4,0.8585858345031738,certificate
atlas_het,node_classification,ov0.10_cross0.00,1,0,graphatlas_c_beta_4,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.15,1,0,graphatlas_c_beta_4,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.30,1,0,graphatlas_c_beta_4,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.00,2,0,graphatlas_c_beta_4,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.15,2,0,graphatlas_c_beta_4,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_beta_4,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.00,3,0,graphatlas_c_beta_4,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.15,3,0,graphatlas_c_beta_4,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.30,3,0,graphatlas_c_beta_4,0.7551020383834839,certificate
atlas_het,node_classification,ov0.10_cross0.00,4,0,graphatlas_c_beta_4,0.8265306353569031,certificate
atlas_het,node_classification,ov0.10_cross0.15,4,0,graphatlas_c_beta_4,0.8265306353569031,certificate
atlas_het,node_classification,ov0.10_cross0.30,4,0,graphatlas_c_beta_4,0.8265306353569031,certificate
atlas_het,node_classification,smoke,0,0,graphatlas_c_beta_minus_1,0.304347813129425,certificate
atlas_het,node_classification,smoke,0,0,graphatlas_c_beta_minus_1,0.304347813129425,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c_beta_minus_1,0.9090909361839294,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c_beta_minus_1,0.9090909361839294,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c_beta_minus_1,0.9090909361839294,certificate
atlas_het,node_classification,ov0.10_cross0.50,0,0,graphatlas_c_beta_minus_1,0.9090909361839294,certificate
atlas_het,node_classification,ov0.25_cross0.00,0,0,graphatlas_c_beta_minus_1,0.8787878751754761,certificate
atlas_het,node_classification,ov0.25_cross0.15,0,0,graphatlas_c_beta_minus_1,0.8787878751754761,certificate
atlas_het,node_classification,ov0.25_cross0.30,0,0,graphatlas_c_beta_minus_1,0.8787878751754761,certificate
atlas_het,node_classification,ov0.25_cross0.50,0,0,graphatlas_c_beta_minus_1,0.8787878751754761,certificate
atlas_het,node_classification,ov0.40_cross0.00,0,0,graphatlas_c_beta_minus_1,0.868686854839325,certificate
atlas_het,node_classification,ov0.40_cross0.15,0,0,graphatlas_c_beta_minus_1,0.868686854839325,certificate
atlas_het,node_classification,ov0.40_cross0.30,0,0,graphatlas_c_beta_minus_1,0.868686854839325,certificate
atlas_het,node_classification,ov0.40_cross0.50,0,0,graphatlas_c_beta_minus_1,0.868686854839325,certificate
atlas_het,node_classification,ov0.55_cross0.00,0,0,graphatlas_c_beta_minus_1,0.8888888955116272,certificate
atlas_het,node_classification,ov0.55_cross0.15,0,0,graphatlas_c_beta_minus_1,0.8888888955116272,certificate
atlas_het,node_classification,ov0.55_cross0.30,0,0,graphatlas_c_beta_minus_1,0.8888888955116272,certificate
atlas_het,node_classification,ov0.55_cross0.50,0,0,graphatlas_c_beta_minus_1,0.8888888955116272,certificate
atlas_het,node_classification,ov0.10_cross0.00,1,0,graphatlas_c_beta_minus_1,0.8163265585899353,certificate
atlas_het,node_classification,ov0.10_cross0.15,1,0,graphatlas_c_beta_minus_1,0.8163265585899353,certificate
atlas_het,node_classification,ov0.10_cross0.30,1,0,graphatlas_c_beta_minus_1,0.8163265585899353,certificate
