source_id,paper_title,venue,year,table_id,source_url,dataset,dataset_version,task,metric,feature_condition,split_protocol,model,mean,std,unit,n_runs,comparison_level,notes,mean_fraction,std_fraction,effective_comparison_level,compatibility_notes
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,73.41,4.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7341,0.049,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,74.2,5.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.742,0.054000000000000006,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,72.44,1.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7243999999999999,0.012,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,48.77,0.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.4877,0.002,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,67.62,2.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.6762,0.024,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,79.55,2.5,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7955,0.025,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,71.93,2.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7193,0.022000000000000002,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,72.1,0.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.721,0.006,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,47.21,0.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.4721,0.006,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,66.67,3.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.6667000000000001,0.03,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,75.91,2.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7591,0.023,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
