source_id,paper_title,venue,year,table_id,source_url,dataset,dataset_version,task,metric,feature_condition,split_protocol,model,mean,std,unit,n_runs,comparison_level,notes
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,71.93,2.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,72.1,0.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,47.21,0.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,66.67,3.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,75.91,2.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,77.54,2.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,73.54,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,50.24,1.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,73.33,3.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,80.0,1.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,81.05,1.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,71.36,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,46.69,0.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,56.67,3.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,65.0,1.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,58.6,2.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,70.6,0.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,44.37,0.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,52.86,1.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,43.64,3.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,41.4,1.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,66.7,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,39.33,1.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,75.71,1.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,81.82,2.5,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,80.35,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,70.37,0.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,46.63,0.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GAT,54.28,5.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GAT,51.36,2.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GAT,50.53,1.7,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GAT,63.74,6.7,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GAT,35.12,6.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,H2GCN,69.76,3.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,H2GCN,79.09,3.5,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,H2GCN,80.18,1.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,H2GCN,70.73,0.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,H2GCN,47.09,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,FAGCN,76.43,3.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,FAGCN,84.55,4.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,FAGCN,83.16,1.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,FAGCN,75.58,0.5,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,FAGCN,49.83,0.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,JacobiConv,73.57,4.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,JacobiConv,81.8,4.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,JacobiConv,76.31,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,JacobiConv,73.81,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
